classroom,ac2,pb2,female,black,frl,sped,age,ac1,db1,cp1,pb1,er1,r.ac2,r.pb2
6,4.6,-0.952647596,0,1,1,0,0.034937176,0.380645161,1.012916751,-0.00921659,-0.88204504,1.711381619,0.937652256,0.137271611
10,4.2,1.247352404,1,0,1,0,-1.895247629,-0.619354839,0.012916751,-0.00921659,0.91795496,-0.688618381,0.450370237,0.369783031
15,3.6,-1.152647596,1,1,1,0,-1.777520045,-0.619354839,2.346250085,1.276497696,-0.88204504,1.111381619,0.371484811,0.029684882
73,1.4,-0.752647596,1,1,1,0,-0.50715728,-1.219354839,-0.09819436,0.705069124,0.31795496,-0.488618381,-0.83817236,-0.553395421
49,4.8,-1.352647596,0,1,1,0,1.781685978,1.580645161,-0.09819436,1.847926267,-0.88204504,0.111381619,0.910390164,-0.475405797
1,4,1.047352404,1,1,1,0,1.565395766,0.780645161,-0.764861027,-1.437788018,1.31795496,-1.088618381,-0.150404797,0.425947177
85,1,0.847352404,1,1,1,0,-0.167663783,-1.819354839,-0.653749915,1.276497696,1.51795496,-0.488618381,-1.041930661,-0.025788014
33,4,-1.752647596,0,1,1,0,1.351843404,1.380645161,1.012916751,-1.00921659,-0.68204504,-0.888618381,-0.287250677,-1.246202478
41,4.8,1.047352404,0,0,1,0,1.527065855,1.780645161,-0.653749915,2.276497696,0.51795496,-0.288618381,0.162138695,0.129060421
74,4,0.847352404,1,1,0,0,-0.091003961,0.580645161,-0.653749915,-1.437788018,1.51795496,-1.088618381,0.204935341,0.359106167
82,2.8,-1.552647596,1,1,0,0,-1.421599443,0.380645161,0.012916751,-0.723502304,-0.68204504,-1.088618381,-0.515457782,-0.693123427
22,4.4,1.047352404,1,1,1,0,2.140344431,-1.219354839,0.012916751,-0.152073733,-0.08204504,0.111381619,2.104721469,1.182932184
43,4.8,0.047352404,1,0,1,0,0.900098024,1.580645161,0.790694529,1.419354839,-0.68204504,0.111381619,-0.424048364,-0.052180748
7,4.2,0.247352404,0,1,0,1,-0.143023126,-0.219354839,-0.431527693,-0.580645161,-0.08204504,-0.288618381,1.180429076,0.413552342
9,4.6,0.247352404,1,1,1,0,-1.016397527,0.180645161,-0.320416582,-1.866359447,0.51795496,-0.488618381,0.269593848,-0.090876437
100,2.4,0.447352404,1,1,1,0,-0.504419429,-1.019354839,0.235138973,0.419354839,0.11795496,2.911381619,0.006726648,0.639836509
90,2.8,0.647352404,1,1,1,0,1.606463527,0.180645161,-0.764861027,-1.866359447,1.31795496,-1.288618381,-0.612321469,0.063321426
68,4,0.247352404,0,0,0,0,0.53596387,0.580645161,1.012916751,0.847926267,-0.88204504,2.711381619,-0.172555763,0.521309042
25,3.8,1.247352404,1,1,0,0,-1.629676103,-0.419354839,-0.764861027,-1.723502304,1.31795496,-1.288618381,0.669683266,0.251599072
